http://ssd.jpl.nasa.gov/?sat_phys_par,,,,,,,,,,
Physical Parameters,,,,,,,,,,
Sat.,GM ,,Mean radius,,Mean density ,Magnitude ,,Albedo,,
Moon,4902.801_0.001,[1],1737.5_0.1,[2],3.344_0.005,-12.74,[3],0.12,[3],Earth
,,,,,,,,,,
Phobos,0.0007112_0.0000010,[4],11.1_0.15,[5],1.872_0.076,11.4_0.2,[6],0.071_0.012,[6],Mars
Deimos,0.0000985_0.0000024,[4],6.2_0.18,[5],1.471_0.166,12.45_0.05,[6],0.068_0.007,[7],Mars
,,,,,,,,,,
Io,5959.916_0.012,[8],1821.6_0.5,[9],3.528_0.006,5.02_0.03,[14],0.63_0.02,[16],Jupiter
Europa,3202.739_0.009,[8],1560.8_0.5,[10],3.013_0.005,5.29_0.02,[14],0.67_0.03,[17],Jupiter
Ganymede,9887.834_0.017,[8],2631.2_1.7,[11],1.942_0.005,4.61_0.03,[14],0.43_0.02,[18],Jupiter
Callisto,7179.289_0.013,[8],2410.3_1.5,[12],1.834_0.004,5.65_0.10,[14],0.17_0.02,[18],Jupiter
Amalthea,0.138_0.030,[8],83.45_2.4,[13],0.849_0.199,14.1_0.2,[15],0.090_0.005,[19],Jupiter
Himalia,0.45,,85,[20],2.6,14.2R,[26],0.04,,Jupiter
Elara,0.058,,43,[20],2.6,16.0R,[26],0.04,,Jupiter
Pasiphae,0.02,,30,[20],2.6,16.8R,[26],0.04,,Jupiter
Sinope,0.005,,19,[20],2.6,18.2R,[26],0.04,,Jupiter
Lysithea,0.0042,,18,[20],2.6,18.1R,[26],0.04,,Jupiter
Carme,0.0088,,23,[20],2.6,18.1R,[26],0.04,,Jupiter
Ananke,0.002,,14,[20],2.6,19.1R,[26],0.04,,Jupiter
Leda,0.00073,,10,[20],2.6,19.2R,[26],0.04,,Jupiter
Thebe,0.1,,49.3_2.0,[21],3,16,[22],0.047_0.003,[19],Jupiter
Adrastea,0.0005,,8.2_2.0,[21],3,18.7,[22],0.1_0.045,[21],Jupiter
Metis,0.008,,21.5_2.0,[21],3,17.5,[22],0.061_0.003,[19],Jupiter
Callirrhoe,0.000058,,4.3,[25],2.6,20.8R,[26],0.04,[25],Jupiter
Themisto,0.000046,,4,[25],2.6,21.0R,[26],0.04,[25],Jupiter
Megaclite,0.000014,,2.7,[25],2.6,21.7R,[26],0.04,[25],Jupiter
